Museum ID,Museum Name,Museum Type,Street Address,City,State,Zip Code,Phone Number
8400200098,ALASKA AVIATION HERITAGE MUSEUM,HISTORY MUSEUM,4721 AIRCRAFT DR,ANCHORAGE,AK,99502,9072485325
8400200117,ALASKA BOTANICAL GARDEN,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",4601 CAMPBELL AIRSTRIP RD,ANCHORAGE,AK,99507,9077703692
8400200153,ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,9711 KENAI SPUR HWY,KENAI,AK,99611,9072832000
8400200143,ALASKA EDUCATORS HISTORICAL SOCIETY,HISTORIC PRESERVATION,214 BIRCH STREET,KENAI,AK,99611,2142472478
8400200027,ALASKA HERITAGE MUSEUM,HISTORY MUSEUM,301 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503,9072652834
8400200096,ALASKA HISTORICAL MUSEUM,HISTORIC PRESERVATION,1675 E 5TH AVE,ANCHORAGE,AK,99501,
8400200078,ALASKA JEWISH MUSEUM,GENERAL MUSEUM,1117 E 35TH AVE,ANCHORAGE,AK,99508,9077707021
8400200084,ALASKA LIGHTHOUSE ASSOCIATION,HISTORIC PRESERVATION,2116 B 2ND ST,DOUGLAS,AK,99824,
8400200107,ALASKA MASONIC LIBRARY AND MUSEUM FOUNDATION,GENERAL MUSEUM,PO BOX 190668,ANCHORAGE,AK,99519,9072762665
8400200073,ALASKA MINING HALL OF FAME FOUNDATION,HISTORY MUSEUM,PO BOX 81906,FAIRBANKS,AK,99708,
8400200131,ALASKA NATIONAL GUARD HISTORICAL HOLDING-MUSEUM,HISTORIC PRESERVATION,PO BPX 5800,FORT RICHARDSON,AK,99505,
8400200123,ALASKA NATIVE HERITAGE CENTER,GENERAL MUSEUM,8800 HERITAGE CENTER DRIVE,ANCHORAGE,AK,99504,9073308000
8409500006,ALASKA SEALIFE CENTER,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",301 RAILWAY AVENUE - PO BOX 1329,SEWARD,AK,99664,9072246300
8400200082,ALASKA SPORTS HALL OF FAME,GENERAL MUSEUM,6740 SAMUEL CT,ANCHORAGE,AK,99516,
8400200044,ALASKA STATE MUSEUM,GENERAL MUSEUM,395 WHITTIER ST,JUNEAU,AK,99801,9074652901
8400200133,ALASKA TERRITORIAL CAVALRY MOTORIZED,GENERAL MUSEUM,5910 DEBARR ROAD,ANCHORAGE,AK,99516,9075625359
8400200026,ALASKA TROOPER MUSEUM,GENERAL MUSEUM,245 W 5TH AVE,ANCHORAGE,AK,99501,9072795050
8400200031,ALASKA VETERANS MUSEUM,HISTORY MUSEUM,334 W 4TH AVENUE 227,ANCHORAGE,AK,99501,9076778802
8400200170,ALASKA WILDLIFE CONSERVATION CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",PO BOX 848,GIRDWOOD,AK,99587,9072275764
8400200087,ALASKA ZOO,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",4731 OMALLEY RD,ANCHORAGE,AK,99507,9073462133
